DescriptorClass,DescriptorUI,NLMClassificationNumber,DescriptorName,DateCreated,Annotation,AllowableQualifiersList,PharmacologicalActionList,OnlineNote,HistoryNote,PublicMeSHNote
{'DescriptorClass': '1'},D012017,,,,,,,,68,68
{'DescriptorClass': '1'},D012018,,,,"areflexia, hyporeflexia, hyperreflexia, loss of reflex: index under REFLEX, ABNORMAL",,,,"REFLEX, BABINSKI was BABINSKI REFLEX see under REFLEX, ABNORMAL 1968-89",
{'DescriptorClass': '1'},D012019,WL 600,,,,,,use REFLEX SYMPATHETIC DYSTROPHY to search HAND-SHOULDER SYNDROME 1992-95,"1965; HAND-SHOULDER SYNDROME was see REFLEX SYMPATHETIC DYSTROPHY 1992-95; SHOULDER-HAND SYNDROME & SUDECK'S ATROPHY were headings 1963-95; OSTEOPOROSIS, POST-TRAUMATIC was see SUDECK'S ATROPHY 1992-95","1965; HAND-SHOULDER SYNDROME was see REFLEX SYMPATHETIC DYSTROPHY 1992-95; SHOULDER-HAND SYNDROME & SUDECK'S ATROPHY were headings 1963-95; OSTEOPOROSIS, POST-TRAUMATIC was see SUDECK'S ATROPHY 1992-95"
{'DescriptorClass': '1'},D012020,,,,reflex contraction of abdom wall: read MeSH definition; not for reflex responses of organs within abdom cavity,,,,91(70); was see under REFLEX 1970-90,91; was see under REFLEX 1970-90
{'DescriptorClass': '1'},D012021,WL 340,,,do not use Cat C or E qualif,,,,,
{'DescriptorClass': '1'},D012022,,,,,,,,80,80
{'DescriptorClass': '1'},D012023,,,,,,,,70(68),70
{'DescriptorClass': '1'},D012024,,,,,,,,91(76); was see under REFLEX 1976-90,91; was see under REFLEX 1976-90
{'DescriptorClass': '1'},D012025,WW 240,,,contraction of pupil on exposure to light,,,,74(70),74
{'DescriptorClass': '1'},D012026,WL 106,,,,,,"use REFLEX, STRETCH to search REFLEX, TENDON 1966-81","82; was REFLEX, TENDON 1965-81","82; was REFLEX, TENDON 1965-81"
{'DescriptorClass': '1'},D012027,WV 255,,,,,,,87,87
{'DescriptorClass': '1'},D012028,WB 962,,,do not confuse with REFLEXOLOGY see MASSAGE,,,,,
{'DescriptorClass': '1'},D012029,,,,,,,,,
{'DescriptorClass': '1'},D012030,,,,,,,,,
{'DescriptorClass': '1'},D012031,QC 387,,,"an anal chem technique; do not use for refractometry in REFRACTION, OCULAR",,,,79,79
{'DescriptorClass': '1'},D012032,,,,,,,,2007 (1972); for WEDENSKY INHIBITION & VVEDENSKII'S INHIBITION use NEURAL CONDUCTION 1975-2006,"2007; see REFRACTORY PERIOD, NEUROLOGIC 1991-2006; see NEURAL CONDUCTION 1972-1990; for WEDENSKY INHIBITION & VVEDENSKII'S INHIBITION see NEURAL CONDUCTION 1997-2006; WEDENSKY INHIBITION was heading 1977-1996; VVEDENSKII'S INHIBITION was heading 1975-1976"
{'DescriptorClass': '1'},D012033,,,,human & animal,,,"use REFRACTORY PERIOD, PSYCHOLOGICAL to search REFRACTORY PERIOD, PSYCHOLOGIC 1972-78 (as Prov 72-74)","91(79); was see under REACTION TIME 1979-90; was REFRACTORY PERIOD, PSYCHOLOGIC see under REACTION TIME 1975-78; was REFRACTORY PERIOD, PSYCHOLOGIC 1972-74 (Prov)","91; was see under REACTION TIME 1979-90; was REFRACTORY PERIOD, PSYCHOLOGIC see under REACTION TIME 1975-78"
{'DescriptorClass': '1'},D012034,,,,,,,,"was in Cat E & J 1967-81, was in Cat G only 1963-66",
{'DescriptorClass': '1'},D012035,,,,"do not confuse with REFSUM DISEASE, INFANTILE",,,,1996 (1964),"1996; see REFSUM'S SYNDROME 1991-1995, see REFSUM DISEASE 1964-1990"
{'DescriptorClass': '1'},D012036,,,,specify geographic location if pertinent,,,,,
{'DescriptorClass': '1'},D012037,,,,,,,,,
{'DescriptorClass': '1'},D012038,,,,"coordinate IM with organ / physiol (IM), not / growth; available also are BONE REGENERATION; LIVER REGENERATION; NERVE REGENERATION & SPINAL CORD REGENERATION",,,,,
{'DescriptorClass': '1'},D012039,WG 106,,,"coordinate with organ / blood supply or specific artery or vein / physiol; Manual 19.8.11; specifics available are CEREBROVASCULAR CIRCULATION; CORONARY CIRCULATION; LIVER CIRCULATION; PLACENTAL CIRCULATION; PULMONARY CIRCULATION; RENAL CIRCULATION; SPLANCHNIC CIRCULATION; also available are COLLATERAL CIRCULATION; MICROCIRCULATION & PORTAL SYSTEM; Manual 21.4.2, 21.6; taking of pulse at wrist is not REGIONAL BLOOD FLOW: it is PULSE",,,,67(64),67
{'DescriptorClass': '1'},D012040,WA 541,,,specify geog,,,use REGIONAL HEALTH PLANNING to search APPROPRIATENESS REVIEW (HEALTH CARE) 1980-85 & COMPREHENSIVE HEALTH PLANNING 1969-77 (as Prov 1969-71); use REGIONAL HEALTH PLANNING to search AREAWIDE PLANNING 1975-76 (use HEALTH AND WELFARE PLANNING 1968-74); use REGIONAL HEALTH PLANNING to search ANNUAL IMPLEMENTATION PLANS 1981-85 (use STATE HEALTH PLANS 1980),"77; was AREAWIDE PLANNING see under HEALTH AND WELFARE PLANNING 1968-76; ANNUAL IMPLEMENTATION PLANS was see under REGIONAL HEALTH PLANNING 1981-85, was see under STATE HEALTH PLANS 1980; APPROPRIATENESS REVIEW was APPROPRIATENESS REVIEW (HEALTH CARE) see under REGIONAL HEALTH PLANNING 1980-85; COMPREHENSIVE HEALTH PLANNING was heading 1969-77 (Prov 1969-71)","77; was AREAWIDE PLANNING see under HEALTH AND WELFARE PLANNING 1968-76; ANNUAL IMPLEMENTATION PLANS was see under REGIONAL HEALTH PLANNING 1981-85, was see under STATE HEALTH PLANS 1980; APPROPRIATENESS REVIEW was APPROPRIATENESS REVIEW (HEALTH CARE) see under REGIONAL HEALTH PLANNING 1980-85; COMPREHENSIVE HEALTH PLANNING was heading 1972-77"
{'DescriptorClass': '1'},D012041,WA 541,,,specify geog; TN 163: restricted definition and use,,,,68(67),68
{'DescriptorClass': '1'},D012042,,,,IM; coord with specific population or disease registered (IM),,,,72(69),72
{'DescriptorClass': '1'},D012043,,,,"do not confuse with REMISSION, SPONTANEOUS",,,,2020 (1963); was REGRESSION (PSYCHOLOGY) 1980-2019; was REGRESSION 1963-1979,2020; was REGRESSION (PSYCHOLOGY) 1980-2019; was REGRESSION 1963-1979
{'DescriptorClass': '1'},D012044,,,,IM GEN only; coord NIM with specific disease or other concept (IM); no qualif; specify geog if pertinent,,,,80(73); was see under STATISTICS 1975-79,80; was see under STATISTICS 1975-79
{'DescriptorClass': '1'},D012045,,,,general or unspecified; prefer specifics,,,,88,88
{'DescriptorClass': '1'},D012046,,,,"general only: prefer /rehabil with diseases: Manual 19.7+, 19.8.64; differentiate from AFTERCARE",,,,,
{'DescriptorClass': '1'},D012047,,,,IM,,,,68,68
{'DescriptorClass': '1'},D012048,,,,general or unspecified; prefer specifics; coordinate IM with type of hearing disorder/ rehabil (IM),,,,2013; (1998); use Rehabilitation of Hearing Impaired 2000-2012,2013; see Rehabilitation of Hearing Impaired 2000-2012
{'DescriptorClass': '1'},D012049,,,,used for searching; INDEXER: Do not use; CATALOGER: Do not use,,,,98; use explode 1975-79,98
{'DescriptorClass': '1'},D012050,,,,,,,,67(66),67
{'DescriptorClass': '1'},D012051,,,,,,,,79,79
{'DescriptorClass': '1'},D012052,,,,,,,,91(79); was see under REIMBURSEMENT MECHANISMS 1979-90,91; was see under REIMBURSEMENT MECHANISMS 1979-90
{'DescriptorClass': '1'},D012053,QL 737.U55,,,IM; qualif permitted,,,use REINDEER to search CARIBOU 1975-94,68; CARIBOU was heading 1975-94 (see under REINDEER 1975-90),68; CARIBOU was heading 1975-94 (see under REINDEER 1975-90)
{'DescriptorClass': '1'},D012054,,,,human & animal,,,,2020 (1965); was REINFORCEMENT (PSYCHOLOGY) 1965-2019; was REINFORCEMENT LEARNING 1963-1964,2020; was REINFORCEMENT (PSYCHOLOGY) 1965-2019; was REINFORCEMENT LEARNING 1963-1964
{'DescriptorClass': '1'},D012055,BF 319.5.R4,,,human & animal; no qualif,,,,69(66),69
{'DescriptorClass': '1'},D012056,BF 319.5.R4,,,no qualif,,,,1969,1969
{'DescriptorClass': '1'},D012057,,,,no qualif,,,,69(66),69
{'DescriptorClass': '1'},D012059,,,,,,,,2020 (1975); was REJECTION (PSYCHOLOGY) 1975-2019,2020; was REJECTION (PSYCHOLOGY) 1975-2019
{'DescriptorClass': '1'},D012060,,,,,,,,,
{'DescriptorClass': '1'},D012061,WC 410,,,"not for ""recurrent fever"" ( = FEVER (IM) + RECURRENCE (NIM) ); infections by Borrelia species other than B. burgdorferi or B. burgdorferi group (which cause LYME DISEASE) probably go here, otherwise index under BORRELIA INFECTIONS",,,,,
{'DescriptorClass': '1'},D012062,,,,,,,,77,77
{'DescriptorClass': '1'},D012063,QT 265,,,MUSCLE RELAXATION is also available,,,,,
{'DescriptorClass': '1'},D012064,,,,RELAXATION is also available; MUSCLE RELAXATION is available for the physiological relaxation of muscles,,,,2009 (1991); use RELAXATION TECHNICS 1976-1990,"2009; see RELAXATION TECHNIQUES 1991-2008, see RELAXATION TECHNICS 1976-1990"
{'DescriptorClass': '1'},D012065,WP 530,,,/biosyn /physiol permitted,,,,,
{'DescriptorClass': '1'},D012066,,,,coord IM with agency supplying the relief (IM) if pertinent; specify geog if pertinent,,,search DISASTERS 1968-74 & DISASTERS & INDIGENT CARE 1966-67,91(75); was see under DISASTERS 1968-90; was see under DISASTERS & INDIGENT CARE 1963-67,91; was see under DISASTERS 1968-90; was see under DISASTERS & INDIGENT CARE 1963-67
{'DescriptorClass': '1'},D012067,,,,,,,,RELIGION AND SOCIOLOGY was heading 1963-65,RELIGION AND SOCIOLOGY was heading 1963-65
{'DescriptorClass': '1'},D012068,,,,coordinate IM with medical aspect (IM); FAITH HEALING is available,,,,,
{'DescriptorClass': '1'},D012069,,,,,,,,,
{'DescriptorClass': '1'},D012070,,,,,,,,,
{'DescriptorClass': '1'},D012071,,,,,,,,,
{'DescriptorClass': '1'},D012072,,,,general or unspecified; prefer specifics,,,,98; use explode 1974-97,98
{'DescriptorClass': '1'},D012073,,,,,,,,,
{'DescriptorClass': '1'},D012074,,,,coordinate NIM with disease /ther or specific ther qualifier,,,,87,87
{'DescriptorClass': '1'},D012075,,,,,,,"use REMISSION, SPONTANEOUS to search REMISSION 1971-81 (as Prov 1971-74)",91(82); was see under DISEASE 1982-90; was REMISSION see under DISEASE 1975-81; was REMISSION 1971-74 (Prov),91; was see under DISEASE 1982-90; was REMISSION see under DISEASE 1975-81
{'DescriptorClass': '1'},D012076,,,,,,,,96; was NON MESH 1975-95,96
{'DescriptorClass': '1'},D012077,WG 595.R3,,,thrombosis: index under RENAL ARTERY OBSTRUCTION (IM) + THROMBOSIS (IM),,,,,
{'DescriptorClass': '1'},D012078,WJ 300,,,"renal artery thrombosis: coordinate IM with THROMBOSIS (IM); consider also HYPERTENSION, RENOVASCULAR (hypertension caused by renal artery obstruction or compression)",,,use RENAL ARTERY OBSTRUCTION to search RENAL ARTERY STENOSIS 1966-83,RENAL ARTERY STENOSIS was see under RENAL ARTERY OBSTRUCTION 1963-83,
{'DescriptorClass': '1'},D012079,WJ 301,,,note specifics; consider also KIDNEY /blood supply,,,,82,82
{'DescriptorClass': '1'},D012080,WD 200.5.C2,,,,,,"use RENAL OSTEODYSTROPHY to search RICKETS, RENAL 1966-71",2017(1963),"2017; see RENAL OSTEODYSTROPHY 1972-2016, see RICKETS, RENAL 1963-1971."
{'DescriptorClass': '1'},D012082,WG 625.R3,,,,,,,,
{'DescriptorClass': '1'},D012083,,,,do not confuse with RENNIN see CHYMOSIN,,,,"1963; for PRORENIN use RENIN (NM) 1977-2003, for PREPRORENIN use RENIN (NM) 1980-2003",1963; PRORENIN was listed under ENZYME PRECUSORS & RENIN 1977-2003; PREPRORENIN was listed under ENZYME PRECUSORS & RENIN 1980-2003
{'DescriptorClass': '1'},D012084,,,,note entry term but do not index under ALDOSTERONE unless particularly discussed,,,,82,82
{'DescriptorClass': '1'},D012085,,,,do not confuse entry term RENNIN with RENIN; /biosyn /physiol permitted,,,use CHYMOSIN to search RENNIN 1966-90,91; was RENNIN 1963-90,91; was RENNIN 1963-90
{'DescriptorClass': '1'},D012086,,,,"coordinate  with specific type of surgery; does not include staged surgery ( = specific organ /surg, disease /surg or surgical technique)",,,use REOPERATION to search REVISION ARTHROPLASTY 1987-92,"91(82); was see under SURGERY, OPERATIVE 1982-90; REVISION ARTHROPLASTY was see REOPERATION 1987-92","91; was see under SURGERY, OPERATIVE 1982-90; REVISION ARTHROPLASTY was see REOPERATION 1987-92"
{'DescriptorClass': '1'},D012087,QW 168.5.R15,,,infection = REOVIRIDAE INFECTIONS,,,use REOVIRIDAE to search REOVIRUSES 1975-80; REOVIRUS 1966-74 and 1993; & RESPIRATORY ENTERIC ORPHAN VIRUS 1976-92; use INSECT VIRUSES to search CYTOPLASMIC POLYHEDROSIS VIRUSES 1975-90,"81; was REOVIRUSES 1975-80, was REOVIRUS 1964-74 (Prov 1964-65); RESPIRATORY ENTERIC ORPHAN VIRUSES was RESPIRATORY ENTERIC ORPHAN VIRUS 1976-92; CYTOPLASMIC POLYHEDROSIS VIRUSES was see POLYHEDROSIS VIRUSES 1975-90; REOVIRUS was see REOVIRIDAE 1993","81; was REOVIRUSES 1975-80, was REOVIRUS 1966-74; RESPIRATORY ENTERIC ORPHAN VIRUSES was RESPIRATORY ENTERIC ORPHAN VIRUS 1976-92; CYTOPLASMIC POLYHEDROSIS VIRUSES was see POLYHEDROSIS VIRUSES 1975-90; REOVIRUS was see REOVIRIDAE 1993"
{'DescriptorClass': '1'},D012088,,,,general or unspecified; prefer specifics,,,use REOVIRIDAE INFECTIONS to search REOVIRUS INFECTIONS 1968-93,94; was REOVIRUS INFECTIONS 1968-93,94; was REOVIRUS INFECTIONS 1968-93
{'DescriptorClass': '1'},D012089,,,,infection: coordinate IM with REOVIRIDAE INFECTIONS (IM),,,,2007 (1975),"2007; see REOVIRUS 3 1997-2006, see REOVIRUS TYPE 3 1991-1996, see REOVIRIDAE 1981-1990, see REOVIRUSES 1975-1980"
{'DescriptorClass': '1'},D012090,WE 175,,,,,,,97; was REPETITION STRAIN INJURY 1988-96; CUMULATIVE TRAUMA DISORDERS was see REPETITION STRAIN INJURY 1996,97; was REPETITION STRAIN INJURY 1988-96; CUMULATIVE TRAUMA DISORDERS was see REPETITION STRAIN INJURY 1996
{'DescriptorClass': '1'},D012091,,,,"coordinate with DNA, RNA, or specifics",,,,81,81
{'DescriptorClass': '1'},D012092,,,,differentiate from transplantation; coordinate with organ /surg,,,use REPLANTATION to search REIMPLANTATION 1966-81,82; was REIMPLANTATION 1965-81,82; was REIMPLANTATION 1965-81
{'DescriptorClass': '1'},D012093,,,,,,,,80,80
{'DescriptorClass': '1'},D012094,,,,,,,,,
{'DescriptorClass': '1'},D012095,,,,,,,,73(71); REPRESSION-SENSITIZATION SCALES was heading 1975-96 (see under REPRESSION-SENSITIZATION 1975-90),73; REPRESSION-SENSITIZATION SCALES was heading 1975-96 (see under REPRESSION-SENSITIZATION 1975-90)
{'DescriptorClass': '1'},D012097,,,,,,,,91(79); was see under TRANSCRIPTION FACTORS 1979-90,91; was see under TRANSCRIPTION FACTORS 1979-90
{'DescriptorClass': '1'},D012098,,,,"IM for human, other mammals, birds & fish; NIM for other vertebrates, invertebrates & plants; REPRODUCTIVE BEHAVIOR is also available",,,,,
{'DescriptorClass': '1'},D012099,,,,general or unspecified; prefer specifics,,,use REPRODUCTION TECHNIQUES to search REPRODUCTION TECHNICS 1988-90,91; was REPRODUCTION TECHNICS 1988-90; was non-MeSH before 1988,91; was REPRODUCTION TECHNICS 1988-90
{'DescriptorClass': '1'},D012100,,,,,,,,91(75); was see under REPRODUCTION 1975-90,91; was see under REPRODUCTION 1975-90
{'DescriptorClass': '1'},D012101,,,,used for searching; INDEXER: Do not use; CATALOGER: Do not use,,,,2009 (1998),2009; see REPRODUCTIVE AND URINARY PHYSIOLOGY 1998-2008
{'DescriptorClass': '1'},D012102,QV 170,,,consider also REPRODUCTION /DE,,,,98; use explode 1975-97,98
{'DescriptorClass': '1'},D012103,,,,,,,,2000(1975); for PLASMOCOAGULASE use BATROXOBIN (NM) 1979-1999,2000; see REPTILASE 1991-1999; see SERINE PROTEINASES 1975-1990; for BATROXOBIN see REPTILASE 1982-199; PLASMOCOAGULASE was indexed under COAGULASE 1979-1999
{'DescriptorClass': '1'},D012104,,,,general or unspecified; prefer specifics,,,,,
{'DescriptorClass': '1'},D012106,,,,"general or unspecified; prefer specifics; research as a field or the progress or status of research in a particular field; do not add routinely for specific studies involving ""research""",,,,,
{'DescriptorClass': '1'},D012107,,,,,,,,73,73
{'DescriptorClass': '1'},D012108,,,,IM,,,,68,68
{'DescriptorClass': '1'},D012109,,,,,,,,2008(1964),2008; see RESEARCH SUPPORT 1966-2007
{'DescriptorClass': '1'},D012110,,,,reserpine derivatives=RESERPINE /analogs,,,use RESERPINE to search RESERPINE DERIVATIVES 1975-77; use YOHIMBANS 1969-74,"RESERPINE DERIVATIVES was see under RESERPINE 1975-77, was see under YOHIMBANS 1969-74; /adv eff-pois-tox was RESERPINE TOXICOLOGY 1963-65","RESERPINE DERIVATIVES was see under RESERPINE 1975-77, was see under YOHIMBANS 1969-74; /adverse effects /poisoning /toxicity were RESERPINE TOXICOLOGY 1963-65"
{'DescriptorClass': '1'},D012111,,,,specify geographic location if pertinent,,,,68,68
{'DescriptorClass': '1'},D012112,,,,,,,,68,68
{'DescriptorClass': '1'},D012114,,,,,,,,66(64),66
{'DescriptorClass': '1'},D012115,,,,NIM; in texts as RV,,,,91(75); was see under LUNG VOLUME MEASUREMENTS 1975-90,91; was see under LUNG VOLUME MEASUREMENTS 1975-90
{'DescriptorClass': '1'},D012116,,,,"RESINS, SYNTHETIC is also available",,,,2003 (1963),2003; see RESINS 1963-2002
{'DescriptorClass': '1'},D012117,,,,,,,,75,75
{'DescriptorClass': '1'},D012118,QV 223,,,,,,use RESORCINOLS to search RESORCINOL 1966-74,75; was RESORCINOL 1963-74,75; was RESORCINOL 1963-74
{'DescriptorClass': '1'},D012119,,,,lung only: does not refer to tissue respiration (= probably OXYGEN CONSUMPTION); CELL RESPIRATION is also available,,,,,
{'DescriptorClass': '1'},D012120,,,,GEN or unspecified; prefer specifics,,,,77; was NON MESH before 1977; RESPIRATORY DISEASES was a heading 1963-65 superseded by RESPIRATORY TRACT DISEASES in 1966,77; RESPIRATORY DISEASES was a heading 1963-65 superseded by RESPIRATORY TRACT DISEASES in 1966; CHEYNE-STOKES RESPIRATION was see under RESPIRATION 1966-76
{'DescriptorClass': '1'},D012121,,,,"/instrum: consider also VENTILATORS, MECHANICAL",,,,,
{'DescriptorClass': '1'},D012122,WF 26,,,"associated with PNEUMONIA = PNEUMONIA, VENTILATOR-ASSOCIATED",,,"use VENTILATORS, MECHANICAL to search RESPIRATORS 1966-88",89; was RESPIRATORS 1963-88,89; was RESPIRATORS 1963-88
{'DescriptorClass': '1'},D012123,WF 102,,,MAXIMAL VOLUNTARY VENTILATION & VENTILATION-PERFUSION RATIO are also available,,,use RESPIRATORY FUNCTION TESTS to search VENTILATION TESTS 1990-96,97; was RESPIRATORY AIRFLOW 1971-96 (Prov 1971); VENTILATION TESTS was see RESPIRATORY FUNCTION TESTS 1990-96,97; was RESPIRATORY AIRFLOW 1972-96; VENTILATION TESTS was see RESPIRATORY FUNCTION TESTS 1990-96
{'DescriptorClass': '1'},D012124,,,,,,,,73(71),73
{'DescriptorClass': '1'},D012125,WL 310,,,,,,,72(68),72
{'DescriptorClass': '1'},D012126,,,,,,,,72(69),72
{'DescriptorClass': '1'},D012127,,,,"for adults use RESPIRATORY DISTRESS SYNDROME, ADULT; do not confuse with ""respiratory distress"" which may be RESPIRATORY INSUFFICIENCY or a specific; do not confuse with SEVERE ACUTE RESPIRATORY SYNDROME",,,,2004 (1965),2004; see RESPIRATORY DISTRESS SYNDROME 1965-2003
{'DescriptorClass': '1'},D012128,WF 140,,,"RESPIRATORY DISTRESS SYNDROME, NEWBORN is also available; do not confuse with SEVERE ACUTE RESPIRATORY SYNDROME",,,,77,77
{'DescriptorClass': '1'},D012129,,,,GEN or unspecified; prefer specifics; NIM,,,,,
{'DescriptorClass': '1'},D012130,,,,"""respiratory allergy""",,,,66; was RESPIRATORY ALLERGY 1963-65,66; was RESPIRATORY ALLERGY 1963-65
{'DescriptorClass': '1'},D012131,WF 140,,,"do not confuse with RESPIRATORY DISTRESS SYNDROME, NEWBORN in newborn inf",,,,,
{'DescriptorClass': '1'},D012132,,,,/growth: coord with MUSCLE DEVELOPMENT; /embryol: coord with MUSCLE DEVELOPMENT if pertinent,,,,87,87
{'DescriptorClass': '1'},D012133,WF 140,,,,,,,73(68),73
{'DescriptorClass': '1'},D012134,WF 26,,,,,,,91(63),"91; see PROTECTIVE DEVICES 1975-90; for GAS MASKS see MASKS 1968-74, see GAS MASKS 1963-67"
{'DescriptorClass': '1'},D012135,WF 102,,,,,,,80,80
{'DescriptorClass': '1'},D012136,QW 168.5.P2,,,a group of viruses of the genus Pneumovirus; infection = RESPIRATORY SYNCYTIAL VIRUS INFECTIONS,,,use RESPIRATORY SYNCYTIAL VIRUSES to search RESPIRATORY SYNCYTIAL VIRUS 1966-76,77; was RESPIRATORY SYNCYTIAL VIRUS 1964-76 (Prov 1964-65),77; was RESPIRATORY SYNCYTIAL VIRUS 1966-76
{'DescriptorClass': '1'},D012137,,,,general or unspecified; prefer specifics; /abnorm: RESPIRATORY SYSTEM ABNORMALITIES is available but consider also specific part of respiratory system with /abnorm or specific abnormality,,,,,
{'DescriptorClass': '1'},D012138,WF 145,,,"do not confuse with ADMINISTRATION, INHALATION",,,use RESPIRATORY THERAPY to search INHALATION THERAPY 1966-77,78; was INHALATION THERAPY 1963-77,78; was INHALATION THERAPY 1963-77
{'DescriptorClass': '1'},D012139,,,,,,,,91(Aug 77); was see under HOSPITAL DEPARTMENTS 1977-90,91; was see under HOSPITAL DEPARTMENTS Aug 1977-90
{'DescriptorClass': '1'},D012140,,,,general or unspecified; prefer specifics,,,,1966; was RESPIRATORY DISEASES 1963-65,1966; was RESPIRATORY DISEASES 1963-65
{'DescriptorClass': '1'},D012141,,,,"general, prefer specifics",,,,,
{'DescriptorClass': '1'},D012142,WF 450,,,general or unspecified; prefer specifics; coordinate IM with histological type of neoplasm (IM),,,,,
{'DescriptorClass': '1'},D012143,WF 102,,,general or unspecified; prefer specifics,,,,2009 (1998),2009; see RESPIRATORY PHYSIOLOGY 1998-2008; for RESPIRATORY PHYSIOLOGICAL PROCESSES see  RESPIRATORY PHYSIOLOGICAL PROCESSES 2009-2016; for  RESPIRATORY PHYSIOLOGIC PROCESSES see  RESPIRATORY PHYSIOLOGIC PROCESSES 2004-2008
{'DescriptorClass': '1'},D012144,WY 200,,,"""in the home or institution intermittently in order to provide temporary relief to the family home care giver""",,,,85,85
{'DescriptorClass': '1'},D012146,,,,do not confuse with IMMOBILIZATION; /physiol /psychol permitted,,,,,
{'DescriptorClass': '1'},D012147,WA 799,,,,,,,,
{'DescriptorClass': '1'},D012148,,,,"note entry terms containing ""Ekbom"": do not confuse with entry terms for DELUSIONAL PARASITOSIS which also contain ""Ekbom""",,,,2000(1973),2000; see Restless Legs 1973-1999
{'DescriptorClass': '1'},D012149,,,,human and animal: NIM with no qualif for restraint of animals in experimental stress states; do not confuse with IMMOBILIZATION: if in doubt use word of text,,,,1977,1977
{'DescriptorClass': '1'},D012150,,,,,,,"use POLYMORPHISM, RESTRICTION FRAGMENT LENGTH to search for RESTRICTION FRAGMENT LENGTH POLYMORPHISMS 1987-94",95; was RESTRICTION FRAGMENT LENGTH POLYMORPHISMS 1987-94 (see under POLYMORPHISM (GENETICS) 1987-89),95; was RESTRICTION FRAGMENT LENGTH POLYMORPHISMS 1987-94 (see under POLYMORPHISM (GENETICS) 1987-89)
{'DescriptorClass': '1'},D012151,,,,,,,,,
{'DescriptorClass': '1'},D012152,,,,,,,,91(75); was see under TESTIS 1975-90,91; was see under TESTIS 1975-90
{'DescriptorClass': '1'},D012153,,,,,,,,2020 (1979); was RETENTION (PSYCHOLOGY) 1991-2019; use MEMORY 1963-1990,2020; was RETENTION (PSYCHOLOGY) 1991-2019; see MEMORY 1963-1990
{'DescriptorClass': '1'},D012154,WL 310,,,,,,,,
{'DescriptorClass': '1'},D012155,,,,,,,,,
{'DescriptorClass': '1'},D012156,WH 150,,,,,,,,
{'DescriptorClass': '1'},D012157,WH 650,,,,,,,,
{'DescriptorClass': '1'},D012159,,,,a ruminant's 2d stomach; note category: animal term; dis: coord IM with STOMACH DISEASES /vet (IM); neopl: coord IM with STOMACH NEOPLASMS /vet (IM) + histol type /vet (IM); ulcer: coord IM with STOMACH ULCER /vet (IM),,,,68,68
{'DescriptorClass': '1'},D012160,WW 270,,,/blood supply = RETINAL VESSELS or RETINAL ARTERY or RETINAL VEIN; inflammation = RETINITIS or specifics,,,,,
{'DescriptorClass': '1'},D012161,WG 595.R38,,,"retinal artery dis: coord IM with RETINAL DISEASES (IM), not VASCULAR DISEASES",,,,73,73
{'DescriptorClass': '1'},D012162,WW 270,,,,,,,70(68),70
{'DescriptorClass': '1'},D012163,WW 270,,,/surg: consider also SCLERAL BUCKLING,,,,,
{'DescriptorClass': '1'},D012164,WW 270,,,inflammatory disease = RETINITIS or specifics,,,,72,72
{'DescriptorClass': '1'},D012165,WW 270,,,,,,,91(83); was see under RETINA 1983-90,91; was see under RETINA 1983-90
{'DescriptorClass': '1'},D012166,WW 270,,,,,,,,
{'DescriptorClass': '1'},D012167,WW 270,,,,,,use RETINAL DETACHMENT to search RETINAL TEARS 1977-83,84; RETINAL TEARS was see RETINAL DETACHMENT 1977-83,84; RETINAL TEARS was see RETINAL DETACHMENT 1977-83
{'DescriptorClass': '1'},D012168,WW 270,,,not for deposition of pigments in the retina (= RETINITIS PIGMENTOSA),,,,,
{'DescriptorClass': '1'},D012169,WG 625.R38,,,"retinal vein dis: coord IM with RETINAL DISEASES (IM), not VASCULAR DISEASES",,,,73,73
{'DescriptorClass': '1'},D012170,WG 625.R38,,,,,,,87,87
{'DescriptorClass': '1'},D012171,WW 270,,,"general or unspecified: prefer RETINAL ARTERY or RETINAL VEIN; diseases of retinal vessels: coordinate with RETINAL DISEASES, not VASCULAR DISEASES",,,use RETINAL VESSELS to search PECTEN OCULI 1969-83,PECTEN OCULI was see under RETINAL VESSELS 1969-83,
{'DescriptorClass': '1'},D012172,,,,/biosyn /physiol permitted,,,search VITAMIN A 1968-74,91(75); was see under RETINOIDS 1984-90; was see under VITAMIN A 1968-83,91; was see under RETINOIDS 1984-90; was see under VITAMIN A 1968-83
{'DescriptorClass': '1'},D012173,WW 270,,,,,,,,
{'DescriptorClass': '1'},D012174,WW 270,,,note entry term ROD CONE DYSTROPHIES: CONE-ROD DYSTROPHIES is also available,,,,,
{'DescriptorClass': '1'},D012175,WW 270,,,"coordinate IM with RETINAL NEOPLASMS (IM); /genetics: consider also GENES, RETINOBLASTOMA",,,,,
{'DescriptorClass': '1'},D012176,QU 167,,,,,,,84,84; RETINALDEHYDE was see under VITAMIN A 1968-83
{'DescriptorClass': '1'},D012177,,,,"specifics, RETINOL-BINDING PROTEINS, PLASMA and RETINOL-BINDING PROTEINS, CELLULAR are available; do not interpret the presence of retinol binding proteins in the blood as RETINOL-BINDING PROTEINS, PLASMA; check for appropriate term",,,,76,76
